"PK_MEDICATION_ID","SIMPLE_GENERIC_NAME","GENERIC_NAME","THERAPEUTIC_CLASS","PHARMACY_CLASS","PHARMACY_SUBCLASS","AMOUNT","FORM","FK_ROUTE_ID","CONTROLLED_MED_YN","DEA_CLASS","RECORD_STATE","SOURCE_LAST_UPDATE_DATE","SOURCE_CODE","FULL_NAME","SOURCE_ORIG_ID","FK_3M_NCID_ID","MEDICATION_COUNT"
2382008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-01 00:15:00,"SCM","nystatin 1,000,000,000 units compounding powder","--NYSTATIN 1,000,000,000 UNITS COMPOUNDING POWDER",16533943,11
14338,"Misc Natural Products","Misc Natural Products Tab","Miscellaneous Products","Assorted Classes","Misc Natural Products","100-50-40 MG","Tab",8437,0,NA,NA,NA,"EPIC","CHOLESTATIN 100-50-40 MG PO TABS","4547",NA,3
2232011,"lovastatin-niacin","lovastatin-niacin 40 mg-1000 mg tablet, extended release",NA,NA,NA,"40 mg-1000 mg","tablet, extended release",10700,NA,NA,"Active",2013-10-22 00:15:00,"SCM","Advicor 1000 mg-40 mg oral tablet, extended release","2299-7849-ADVICOR 1000 MG-40 MG ORAL TABLET, EXTENDED RELEASE",3000594680,7
2127099,NA,NA,NA,"Antineoplastics",NA,NA,NA,NA,NA,NA,"Deleted",NA,"EPIC","CLADRIBINE (LEUSTATIN) IVPB 500ML NSS (10MG VIAL) (DELETED)","900920",15586091,37
27734,"Nystatin",NA,"Topical Products","Mouth & throat (local)","Anti-infectives - Throat","200000 U","Lozenge",8436,0,NA,"Deleted",NA,"EPIC","NYSTATIN (MOUTH-THROAT) LOZG 200000 U MT","11468",3000266701,85
30175,"Cladribine","Cladribine Inj 1 MG/ML","Antineoplastic Agents","Antineoplastics","Antimetabolites","1 MG/ML","Solution",8438,0,NA,"Deleted",NA,"EPIC","LEUSTATIN 1 MG/ML IV SOLN","11965",15168589,2
26905,"Nystatin","Nystatin Topical Powder","Topical Products","Dermatological","Antifungals - Topical",NA,"Powder",8429,0,NA,"Deleted",NA,"EPIC","NYSTATIN EX POWD","11470",15451655,1383
30023,"Nystatin","Nystatin (Bulk) Powder","Miscellaneous Products","Chemicals","Bulk Chemicals - N's",NA,"Powder",8446,0,NA,NA,NA,"EPIC","NYSTATIN POWD","11735",16402333,1178
26537,"Nystatin","Nystatin Cream 100000 Unit/GM","Topical Products","Dermatological","Antifungals - Topical","100000 UNIT/GM","Cream",8429,0,NA,NA,NA,"EPIC","NYSTATIN 100000 UNIT/GM EX CREA","10917",15150694,10494
27483,"Nystatin","Nystatin Susp 100000 Unit/ML","Topical Products","Mouth & throat (local)","Anti-infectives - Throat","100000 U/ML","Suspension",8436,0,NA,"Deleted",NA,"EPIC","NYSTATIN (MOUTH-THROAT) SUSP 100000 U/ML MT","10924",16402332,1502
23905,"Atorvastatin Calcium","Atorvastatin Calcium Tab 20 MG (Base Equivalent)","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","20 MG","Tab",8437,0,NA,NA,NA,"EPIC","LIPITOR 20 MG PO TABS","9722",3000284909,26600
25739,"Nystatin","Nystatin Oint 100000 Unit/GM","Topical Products","Dermatological","Antifungals - Topical","100000 UNIT/GM","Ointment",8429,0,NA,NA,NA,"EPIC","NYSTATIN 100000 UNIT/GM EX OINT","10922",15155824,3153
25745,"Nystatin",NA,"Topical Products","Mouth & throat (local)","Anti-infectives - Throat",NA,"Recon Susp",8436,0,NA,"Deleted",NA,"EPIC","NYSTATIN (MOUTH-THROAT) SUSR   MT","10931",15600502,80
22785,"Atorvastatin Calcium","Atorvastatin Calcium Tab 10 MG (Base Equivalent)","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","10 MG","Tab",8437,0,NA,NA,NA,"EPIC","LIPITOR 10 MG PO TABS","9715",3000284908,32224
35539,"Atorvastatin Calcium","Atorvastatin Calcium Tab 10 MG (Base Equivalent)","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","10 mg","Tab",8437,0,NA,NA,NA,"EPIC","ATORVASTATIN CALCIUM 10 MG PO TABS","14506",3000284908,48073
34424,"Nystatin",NA,"Topical Products","Mouth & throat (local)","Anti-infectives - Throat","200000 UNIT","Lozenge",8436,0,NA,"Deleted",NA,"EPIC","MYCOSTATIN 200000 UNIT MT LOZG","14154",3000266701,6
34425,"Nystatin","Nystatin Topical Powder","Topical Products","Dermatological","Antifungals - Topical","100000 UNIT/GM","Powder",8429,0,NA,"Deleted",NA,"EPIC","MYCOSTATIN 100000 UNIT/GM EX POWD","14157",3000264517,168
34696,"Atorvastatin Calcium","Atorvastatin Calcium Tab 20 MG (Base Equivalent)","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","20 MG","Tab",8437,0,NA,NA,NA,"EPIC","ATORVASTATIN CALCIUM 20 MG PO TABS","14508",3000284909,56172
32851,"Lovastatin","Lovastatin Tab 20 MG","Cardiovascular Agents","Antihyperlipidemic","HMG CoA Reductase Inhibitors","20 MG","Tab",8437,0,NA,"Deleted",NA,"EPIC","MEVACOR 20 MG PO TABS","13469",3000263751,746
