supersource,count2
http://purl.obolibrary.org/obo/CHEBI_101086,2
http://purl.obolibrary.org/obo/CHEBI_101090,2
http://purl.obolibrary.org/obo/CHEBI_102248,2
http://purl.obolibrary.org/obo/CHEBI_102368,1
http://purl.obolibrary.org/obo/CHEBI_110725,1
http://purl.obolibrary.org/obo/CHEBI_130181,2
http://purl.obolibrary.org/obo/CHEBI_131186,2
http://purl.obolibrary.org/obo/CHEBI_131359,1
http://purl.obolibrary.org/obo/CHEBI_131492,1
http://purl.obolibrary.org/obo/CHEBI_131495,1
http://purl.obolibrary.org/obo/CHEBI_131509,2
http://purl.obolibrary.org/obo/CHEBI_131561,1
http://purl.obolibrary.org/obo/CHEBI_131604,129
http://purl.obolibrary.org/obo/CHEBI_131611,4
http://purl.obolibrary.org/obo/CHEBI_131699,9
http://purl.obolibrary.org/obo/CHEBI_131734,1
http://purl.obolibrary.org/obo/CHEBI_131770,3
http://purl.obolibrary.org/obo/CHEBI_131787,4
http://purl.obolibrary.org/obo/CHEBI_131789,1
http://purl.obolibrary.org/obo/CHEBI_131790,1
http://purl.obolibrary.org/obo/CHEBI_131791,1
http://purl.obolibrary.org/obo/CHEBI_131794,1
http://purl.obolibrary.org/obo/CHEBI_131795,2
http://purl.obolibrary.org/obo/CHEBI_131809,4
http://purl.obolibrary.org/obo/CHEBI_131844,1
http://purl.obolibrary.org/obo/CHEBI_13193,2
http://purl.obolibrary.org/obo/CHEBI_131961,1
http://purl.obolibrary.org/obo/CHEBI_132272,7
http://purl.obolibrary.org/obo/CHEBI_132365,3
http://purl.obolibrary.org/obo/CHEBI_132518,1
http://purl.obolibrary.org/obo/CHEBI_132608,1
http://purl.obolibrary.org/obo/CHEBI_132710,1
http://purl.obolibrary.org/obo/CHEBI_132717,9
http://purl.obolibrary.org/obo/CHEBI_132771,3
http://purl.obolibrary.org/obo/CHEBI_132772,1
http://purl.obolibrary.org/obo/CHEBI_132972,1
http://purl.obolibrary.org/obo/CHEBI_132992,8
