PK_MEDICATION_ID,SIMPLE_GENERIC_NAME,GENERIC_NAME,THERAPEUTIC_CLASS,PHARMACY_CLASS,PHARMACY_SUBCLASS,AMOUNT,FORM,FK_ROUTE_ID,CONTROLLED_MED_YN,DEA_CLASS,RECORD_STATE,SOURCE_LAST_UPDATE_DATE,SOURCE_CODE,statin_curation,FULL_NAME,SOURCE_ORIG_ID,FK_3M_NCID_ID,MEDICATION_COUNT
14338,Misc Natural Products,Misc Natural Products Tab,Miscellaneous Products,Assorted Classes,Misc Natural Products,100-50-40 MG,Tab,8437,0,NA,NA,NA,EPIC,FALSE,CHOLESTATIN 100-50-40 MG PO TABS,4547,NA,3
156029,Misc Natural Products,Misc Natural Products,Miscellaneous Products,Assorted Classes,Misc Natural Products,NA,NA,8437,NA,NA,Deleted,NA,EPIC,FALSE,CHOLESTATIN OR,74134,16534545,5
5356448,Misc Natural Products,Misc Natural Products,Miscellaneous Products,Assorted Classes,Misc Natural Products,NA,NA,8437,NA,NA,NA,NA,EPIC,FALSE,CHOLESTATIN PO,115314,NA,10
2132083,NA,NA,NA,Antineoplastics,NA,NA,NA,NA,NA,NA,Deleted,NA,EPIC,FALSE,PENTOSTATIN (NIPENT) IVPB 50ML NSS (10MG VIAL) (DELETED),900935,15586035,21
2154402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/21/16 15:01,SCM,TRUE,statin,#NAME?,NA,6
5350631,Diphenhyd-HC-Nystatin-Tetracyc,Diphenhyd-HC-Nystatin-Tetracyc,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,NA,8436,NA,NA,NA,NA,EPIC,FALSE,DIPHENHYD-HC-NYSTATIN-TETRACYC MOUTH/THROAT,117595,NA,4
3359010,Diphenhyd-HC-Nystatin-Tetracyc,Diphenhyd-Hydrocort-Nystatin-Tetracyc Susp (Cmpd Kit),Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,Suspension,8436,0,NA,Deleted,NA,EPIC,FALSE,DIPHENHYD-HC-NYSTATIN-TETRACYC MOUTH/THROAT SUSP,106988,16638074,4
5355627,Diphenhyd-Hydrocort-Nystatin,Diphenhyd-Hydrocort-Nystatin,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,NA,8436,NA,NA,NA,NA,EPIC,FALSE,DIPHENHYD-HYDROCORT-NYSTATIN MOUTH/THROAT,117596,15465914,5
3364007,Diphenhyd-Hydrocort-Nystatin,Diphenhydramine-Hydrocortisone-Nystatin Susp (Cmpd Kit),Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,Suspension,8436,0,NA,Deleted,NA,EPIC,FALSE,DIPHENHYD-HYDROCORT-NYSTATIN MOUTH/THROAT SUSP,106987,15465914,6
5357805,Diphenhyd-Lidocaine-Nystatin,Diphenhyd-Lidocaine-Nystatin,Topical Products,Mouth & throat (local),Anti-infectives - Throat,NA,NA,8436,NA,NA,NA,NA,EPIC,FALSE,DIPHENHYD-LIDOCAINE-NYSTATIN MOUTH/THROAT,117597,NA,10
