original,more_generic,robot,graphs,base
uuids,classification_uuid,ID,classified_search_results,
MEDICATION_ID,source_med_id,AI http://example.com/resource/source_id_uri,reference_medications;classified_search_results,http://example.com/resource/source_med_id/
FULL_NAME,source_full_name,A http://example.com/resource/source_full_name,reference_medications,
GENERIC_NAME,source_generic_name,A http://example.com/resource/source_generic_name,reference_medications,
RXNORM,source_rxcui,AI http://example.com/resource/source_rxcui,reference_medications,http://purl.bioontology.org/ontology/RXNORM/
MEDICATION_COUNT,source_count,AT http://example.com/resource/source_count^^xsd:int,reference_medications,
pds.rxn.annotated,source_has_rxcui,AT http://example.com/resource/source_has_rxcui^^xsd:boolean,reference_medications,
normalized,source_normalized_full_name,A http://example.com/resource/source_normalized_full_name,reference_medications,
query.source,query_source,AI http://example.com/resource/query_source,classified_search_results,http://example.com/resource/query_source/
query.val,query_val,A http://example.com/resource/query_val,classified_search_results,
rxcui,match_rxcui,AI http://example.com/resource/match_rxcui,classified_search_results,http://purl.bioontology.org/ontology/RXNORM/
rxaui,match_rxaui,A http://example.com/resource/match_rxaui,classified_search_results,
score,match_score,AT http://example.com/resource/match_score^^xsd:float,classified_search_results,
rank,match_rank,AT http://example.com/resource/match_rank^^xsd:float,classified_search_results,
STR,match_string,A http://example.com/resource/match_string,classified_search_results,
SAB.sr,match_sab,AI http://example.com/resource/match_sab,classified_search_results,http://example.com/resource/RXNORM_SAB/
TTY.sr,match_tty,AI http://example.com/resource/match_tty,classified_search_results,http://example.com/resource/rxn_tty/
rxaui.freq,rxaui_freq,AT http://example.com/resource/rxaui_freq^^xsd:float,classified_search_results,
rxcui.freq,rxcui_freq,AT http://example.com/resource/rxcui_freq^^xsd:float,classified_search_results,
q.char,query_chars,AT http://example.com/resource/query_chars^^xsd:int,classified_search_results,
q.words,query_words,AT http://example.com/resource/query_words^^xsd:int,classified_search_results,
sr.char,match_chars,AT http://example.com/resource/match_chars^^xsd:int,classified_search_results,
sr.words,match_words,AT http://example.com/resource/match_words^^xsd:int,classified_search_results,
cosine,sd_cosine,AT http://example.com/resource/sd_cosine^^xsd:float,classified_search_results,
jaccard,sd_jaccard,AT http://example.com/resource/sd_jaccard^^xsd:float,classified_search_results,
jw,sd_jw,AT http://example.com/resource/sd_jw^^xsd:float,classified_search_results,
lcs,sd_lcs,AT http://example.com/resource/sd_lcs^^xsd:float,classified_search_results,
lv,sd_lv,AT http://example.com/resource/sd_lv^^xsd:float,classified_search_results,
qgram,sd_qgram,AT http://example.com/resource/sd_qgram^^xsd:float,classified_search_results,
rf_responses,rf_classification,AI http://example.com/resource/rf_classification,classified_search_results,http://purl.bioontology.org/ontology/RXNORM/
consists_of,prob_consists_of,AT http://example.com/resource/prob_consists_of^^xsd:float,classified_search_results,
constitutes,prob_constitutes,AT http://example.com/resource/prob_constitutes^^xsd:float,classified_search_results,
contained_in,prob_contained_in,AT http://example.com/resource/prob_contained_in^^xsd:float,classified_search_results,
contains,prob_contains,AT http://example.com/resource/prob_contains^^xsd:float,classified_search_results,
form_of,prob_form_of,AT http://example.com/resource/prob_form_of^^xsd:float,classified_search_results,
has_form,prob_has_form,AT http://example.com/resource/prob_has_form^^xsd:float,classified_search_results,
has_ingredient,prob_has_ingredient,AT http://example.com/resource/prob_has_ingredient^^xsd:float,classified_search_results,
has_part,prob_has_part,AT http://example.com/resource/prob_has_part^^xsd:float,classified_search_results,
has_quantified_form,prob_has_quantified_form,AT http://example.com/resource/prob_has_quantified_form^^xsd:float,classified_search_results,
has_tradename,prob_has_tradename,AT http://example.com/resource/prob_has_tradename^^xsd:float,classified_search_results,
identical,prob_identical,AT http://example.com/resource/prob_identical^^xsd:float,classified_search_results,
ingredient_of,prob_ingredient_of,AT http://example.com/resource/prob_ingredient_of^^xsd:float,classified_search_results,
inverse_isa,prob_inverse_isa,AT http://example.com/resource/prob_inverse_isa^^xsd:float,classified_search_results,
isa,prob_isa,AT http://example.com/resource/prob_isa^^xsd:float,classified_search_results,
more distant,prob_more_distant,AT http://example.com/resource/prob_more_distant^^xsd:float,classified_search_results,
part_of,prob_part_of,AT http://example.com/resource/prob_part_of^^xsd:float,classified_search_results,
quantified_form_of,prob_quantified_form_of,AT http://example.com/resource/prob_quantified_form_of^^xsd:float,classified_search_results,
tradename_of,prob_tradename_of,AT http://example.com/resource/prob_tradename_of^^xsd:float,classified_search_results,
override,final_classification,AI http://example.com/resource/override_classification,classified_search_results,http://purl.bioontology.org/ontology/RXNORM/
