count,dron_term_word
785,extract
348,allergenic
240,pollen
129,vaccine
85,preparation
56,virus
54,a
52,protein
46,human
43,capsular
42,strain
37,polysaccharide
37,oil
36,type
33,insulin
32,influenza
32,grass
31,b
29,calcium
28,n
28,live
27,inactivated
27,antigen
27,acid
25,conjugate
24,seed
24,diphtheria
23,white
23,root
23,pneumococcal
23,h
23,alfa
21,sodium
21,potassium
21,black
20,zinc
20,globulin
19,serotype
19,oak
19,immune
18,red
18,pine
18,magnesium
18,factor
17,crm
16,ragweed
16,phosphate
15,venom
15,skin
15,f
15,beef
14,bean
14,aluminum
13,streptococcus
13,pork
13,pneumoniae
13,california
12,ferrous
12,c
11,yellow
11,like
11,leaf
11,citrate
11,bismuth
10,western
10,usp
10,lactobacillus
10,fruit
10,complex
10,chloride
10,aspartate
9,wheat
9,sulfate
9,neisseria
9,milk
9,meningitidis
9,iron
9,hair
9,ginseng
9,g
9,echinacea
9,brisbane
9,bovine
9,beta
9,attenuated
9,aspergillus
9,alpha
8,wasp
8,toxoid
8,sweet
8,smut
8,serogroup
8,juniper
8,house
8,ferric
8,dust
8,common
8,blue
8,american
7,whole
7,thistle
7,salicylate
7,rotavirus
7,protamine
7,pepper
7,penicillium
7,olive
7,meningococcal
7,maple
7,liver
7,l
7,interferon
7,hepatitis
7,gum
7,grape
7,d
7,carbonate
7,birch
7,barley
6,walnut
6,sage
6,saccharomyces
6,rye
6,rabbit
6,oxide
6,niger
6,mold
6,lithium
6,inhibitor
6,horse
6,green
6,grain
6,glycol
6,english
6,cottonwood
6,cedar
6,bark
6,antivenin
5,x
5,willow
5,uruguay
5,trichophyton
5,silver
5,salmon
5,reassortant
5,phoma
5,paper
5,p
5,oligosaccharide
5,oat
5,nut
5,mustard
5,mucor
5,mite
5,manganese
5,kidney
5,iodine
5,immunoglobulin
5,hickory
5,group
5,gluconate
5,florida
5,fiber
5,feather
5,european
5,estrogens
5,elm
5,egg
5,eastern
5,dextran
5,corn
