pattern,replacement,mask,confidence,notes
act,actuat,,high,
acute,,mask,high,
admix,,mask,high,
alum,aluminum,,high,
anaphylaxis,,mask,high,
aug,augmented,,high,
bolus,,mask,high,
cal-glu,calcium gluconate,,high,
caps,capsule,,high,
cardiac,,mask,high,
cath,,mask,high,
cath lab,,mask,high,
catheter,,mask,high,
cch,,mask,high,
charcoal plus ds,activated charcoal,,high,
clearance,,mask,high,
cnr,,mask,high,
cocktail,,mask,high,
compiled,,mask,high,
conj,conjugated,,high,semi ambiguous
correction,,mask,high,
cp12,12 hr extended release oral capsule,,high,
cp24,24 hr extended release oral capsule,,high,
cpcr,extended release capsule,,high,
cpep,,mask,high,
crm,topical cream,,high,
crys,,mask,high,
custom,,mask,high,
d5w,,mask,high,
diacet,diacetate,,high,
diet manage prod,,mask,high,
dietary manage prod,,mask,high,
dl,,mask,high,
dosing,,mask,high,
dss,docusate sodium,,high,
e.e.s.,erythromycin ethylsuccinate,,high,
eck,,mask,high,
elix,elixir,,high,
emergent use,,mask,high,
emul,,mask,high,
enem,enema,,high,
eql,,mask,high,
eth,ethinyl,,high,
ex crea,external cream,,high,
ex lotn,lotion,,high,
fertab,ferrous sulfate,,high,
hct,hydrochlorothiazide,,high,
hup,,mask,high,
ifc,intrinsic factor,,high,
ij soln,injectable solution,,high,
ij susp,injectable suspension,,high,
im,,mask,high,
infusion,injectable solution,,high,"see also soln, suspn…"
initial,,mask,high,
intracaver,,mask,high,
investigational,,mask,high,just skip them anyway?
ischemic,,mask,high,
ivpb,injectable solution,,high,see also nss
ivpb_,,mask,high,
kdur,potassium chloride,,high,
liq,solution,,high,Choline / Magnesium Salicylate Oral Liquid Product [RxCUI = 1151420]; Phenobarbital Oral Solution [RxCUI = 435437]
liqd,solution,,high,"oral, external ; solution, suspension"
loading,,mask,high,
local anesth.,,mask,high,
lotn,lotion,,high,
lozg,lozenge,,high,
magox,magnesium oxide,,high,
mg caps,mg capsule,,high,
mg or caps,mg oral capsule,,high,
mg tabs,mg tablet,,high,
misc,,mask,high,
monohyd,monohydrate,,high,
mucolytic,,mask,high,
na aero,nasal,,high,
na aers,nasal,,high,
na gel,nasal gel,,high,
na soln,nasal solution,,high,
nss,,mask,high,Sub normal saline?
obsolete,,mask,high,
oint,ointment,,high,
op,ophthalmic,,high,
or,oral,,high,
or caps,oral capsule,,high,
or tabs,oral tablet,,high,
oral tabs,oral tablet,,high,
orderable,,mask,high,
ordf,,mask,high,
osco,,mask,high,
ox,oxide,,high,
pah,,mask,high,
pca,,mask,high,
